Numero,Nombre,Direccion,Diesel,Magna,Premium,Latitud,Longitud
PL/5677/EXP/ES/2015,ARMANDO EMMANUEL VILLA DOMINGUEZ,Boulevard Lázaro Cárdenas No. 306,,23.43,28.43,29.1180522,-110.9803014
PL/5687/EXP/ES/2015,ARMANDO VILLA ENCINAS,Boulevard Zamorano No. 94 Esquina Alfonso López Riesgo,,23.93,28.43,29.0083105,-110.9440472
PL/5696/EXP/ES/2015,ARMANDO VILLA ENCINAS,Boulevard Agustin Zamora No. 29 Esquina Boulevard Valencia,,23.63,28.43,29.156157,-111.010746
PL/5784/EXP/ES/2015,AUTO SERVICIO BACHOCO S.A. DE C.V.,Boulevard Morelos S/N Y Calle Siete,,24.29,29.99,29.1218472,-110.9513228
PL/6145/EXP/ES/2015,"ESTACION PIRU, S.A. DE C.V.",Tayde López del Castillo Esquina Ignacio Salazar 498,,23.99,28.99,29.11662209999999,-110.9832852
PL/6149/EXP/ES/2015,SERVICIO EL GALLO S.A. DE C.V.,Boulevard Vildosola Y Periférico Sur S/N,29.18,23.99,26.99,29.0374499,-110.9583478
PL/6150/EXP/ES/2015,EL CHARRO GASOLINERA S. A.,Veracruz No. 263 Esquina Francisco Monteverde,,23.99,29.72,29.092335,-110.9690073
PL/6151/EXP/ES/2015,COMBUSTIBLES Y LUBRICANTES CF S.A. DE C.V.,Avenida Lázaro Cárdenas No. 413,28.49,23.47,28.55,29.0420985,-110.9945406
PL/6154/EXP/ES/2015,PETROMEX DE HERMOSILLO S.A. DE C.V.,Avenida Periférico Poniente No. 328,,24.39,29.99,29.1111566,-110.982407
PL/6197/EXP/ES/2015,SUPER GASOLINERAS DE LA FRONTERA S.A. DE C.V. ,Carretera a La Colorada No. 98,28.49,23.89,27.99,29.0183718,-110.9289068
PL/6198/EXP/ES/2015,SUPER GASOLINERAS DE LA FRONTERA S.A. DE C.V. ,Matamoros No. 57,,23.99,27.99,29.0878264,-110.9534656
PL/6199/EXP/ES/2015,SUPER GASOLINERAS DE LA FRONTERA S.A. DE C.V. ,Calle Dr Noriega S/N,28.49,23.99,27.99,29.0800989,-110.9534265
PL/6201/EXP/ES/2015,SUPER GASOLINERAS DE LA FRONTERA S.A. DE C.V. ,Boulevard Paseo del Lago No. 4,28.49,22.99,27.99,29.0488745,-110.9344625
